"","Name","Marathon","Date","Month","Week","Day","Weekday","RunCat","RunType","WorkoutType","StartTime","Time","Distance","Avg.HR","Max.HR","Avg.Cadence","Max.Cadence","Avg.Pace","Best.Pace","Elev.Gain","Elev.Loss","Avg.Stride.Length"
"1","Classic LT Run","ph16",2016-07-19,"Jul",1,19,"Tuesday","Workout","Workout","Tempo",2017-12-30 05:51:00,2017-12-30 01:04:59,9.01,149,167,168,233,2017-12-30 00:07:13,2017-12-30 00:04:59,351,332,1.33
"2","MIddle Long Run","ph16",2016-07-20,"Jul",1,20,"Wednesday","ML","Run","NA",2017-12-30 05:36:00,2017-12-30 01:23:29,11,150,160,170,193,2017-12-30 00:07:35,2017-12-30 00:05:55,461,447,1.25
"3","Recovery Run","ph16",2016-07-21,"Jul",1,21,"Thursday","Recovery","Recovery","NA",2017-12-30 06:45:00,2017-12-30 00:32:40,4,139,149,171,186,2017-12-30 00:08:10,2017-12-30 00:07:39,NA,NA,1.15
"4","GA Run","ph16",2016-07-22,"Jul",2,22,"Friday","GA","Run","NA",2017-12-30 05:29:00,2017-12-30 01:24:31,11,150,161,175,232,2017-12-30 00:07:41,2017-12-30 00:05:48,468,440,1.2
"5","Morning Run","ph16",2016-07-23,"Jul",2,23,"Saturday","Recovery","Recovery","NA",2017-12-30 07:29:00,2017-12-30 00:48:25,6,131,155,174,185,2017-12-30 00:08:04,2017-12-30 00:06:36,230,172,1.15
"6","Long Run","ph16",2016-07-24,"Jul",2,24,"Sunday","Long","Long","NA",2017-12-30 08:17:00,2017-12-30 02:03:17,16.02,154,165,169,193,2017-12-30 00:07:42,2017-12-30 00:05:48,572,518,1.24
"7","GA Run","ph16",2016-07-26,"Jul",2,26,"Tuesday","GA","Run","NA",2017-12-30 05:29:00,2017-12-30 01:15:58,10,150,159,166,194,2017-12-30 00:07:36,2017-12-30 00:05:46,400,380,1.28
"8","Morning Run","ph16",2016-07-27,"Jul",2,27,"Wednesday","ML","Run","NA",2017-12-30 05:15:00,2017-12-30 01:40:41,13,146,158,175,197,2017-12-30 00:07:45,2017-12-30 00:05:53,485,441,1.19
"9","Recovery Run","ph16",2016-07-28,"Jul",2,28,"Thursday","Recovery","Recovery","NA",2017-12-30 06:15:00,2017-12-30 00:23:41,3,134,142,172,181,2017-12-30 00:07:53,2017-12-30 00:07:12,NA,NA,1.18
"10","Middle Long Run","ph16",2016-07-29,"Jul",3,29,"Friday","ML","Run","NA",2017-12-30 05:14:00,2017-12-30 01:34:55,12.02,149,160,170,193,2017-12-30 00:07:54,2017-12-30 00:05:35,477,468,1.2
