"Activity Score","When","Type","Gear","Name","Dist mi","Elv ft","Elapsed Time","Moving Time","Speed mph","Max Speed mph","Pace /mi","Max Pace /mi","Pace /100yds","Max Pace /100yds","Pwr W","Weighted Avg Pwr W","Max Pwr W","Power Meter","Cad","Heart","Max Heart","Elev/Dist ft/mi","Elev/Time ft/h","W/HR","Speed/HR","Temp °C","Cal","Energy kJ","Segs","PRs","Others","Kudos","Comments","Com","Trn","Man","Pri","Dist away mi","Activity Score 25%","Training Load","Intesity %","Segment PRs (K/QOM positions)","All segments (personal positions)","Ride/Run Type","400m","1 km","5 km","10 km","15 km","20 km","30 km","50 km","1/2 Mile","1 mile","2 mile","10 mile","Half Marathon","Marathon","Suffer Score","Points in red","% in red","H/R Zone 1","H/R Zone 2","H/R Zone 3","H/R Zone 4","H/R Zone 5","Power 0W","Power 0-50W","Power 50-100W","Power 100-150W","Power 150-200W","Power 200-250W","Power 250-300W","Power 300-350W","Power 350-400W","Power 400-450W","Power 450W+","Pace Zone 1","Pace Zone 2","Pace Zone 3","Pace Zone 4","Pace Zone 5","Flagged","Description","City","State","Tiles calculated","Activity Id","Activity Id"
0,"2017-12-14 06:17:34","Run","Saucony kinvara 6","longest continuous treadmill run EVER (thanks, snow). GRIT",14488.9,0,4766,4766,3.0401,5.2,529.3132416000001,309.49294464,30.074616000000002,17.5848264,0,0,,0,89.2,147.9,164,0,0,0,0.046,22,1283.9,0,0,0,1,0,0,0,1,0,0,-1,0,,,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"w/ 8*100m strides, last .25 @ 3% I, 1 mi up, 1 mi down, 1 bathroom break",,,0,1313647662,1313647662
0,"2017-12-13 17:30:09","Run","Salomon Red Trail","forcing myself to SLOWLY and EASILY work back up",6471,0,2200,2200,2.9414,3.3,547.17696,487.6795123200001,31.0896,27.709063200000003,0,0,,0,87.1,133.9,161,0,0,0,0.0491,23,573.4,0,0,0,1,0,0,0,1,0,0,-1,0,,,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"",,,0,1313174590,1313174590
0,"2017-12-12 07:06:24","Run","Salomon Red Trail","Morning treadmill recovery",6448.6,0,2130,2130,3.0275,3.3,531.5663231999999,487.6795123200001,30.202631999999998,27.709063200000003,0,0,,0,86.3,131.4,138,0,0,0,0.0515,23,571.5,0,0,0,1,0,0,0,1,0,0,-1,0,,,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"",,,0,1311464141,1311464141
35.0361385823647,"2017-12-11 12:28:50","Run","Saucony Black Iso","lunch trot",12883,32,4192,3740,3.4447,10.8,467.1925632,149.00916096,26.545032,8.4664296,0,0,,0,88.5,149.7,178,2.48,30.8,0,0.0515,17,1146.4,0,8,1,1,0,0,0,0,0,0,-1,57.01754385964912,,,,,"",83,257,1526,3291,,,,,197,445,990,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"",,,0,1310719975,1310719975
0,"2017-12-10 15:33:43","Run","Salomon Red Trail","the ""forgot milk"" run to whole foods",6450.2,24,3098,1986,3.2478,5.3,495.51701760000003,303.65102592,28.154376,17.252899199999998,0,0,,0,87.8,137.6,189,3.72,43.5,0,0.0528,17,575.4,0,0,0,1,0,0,0,0,0,0,-1,0,,,,,"",105,312,2601,,,,,,231,491,1023,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"",,,0,1310719126,1310719126
36.39855514855515,"2017-12-09 10:09:14","Run","Saucony Kinvara 7 Waterproof","snooooow ruuuuun",16096.7,131,5912,4999,3.22,7.8,499.8622464,206.33399423999998,28.401263999999998,11.723522399999998,0,0,,0,89.4,148.5,167,8.14,94.3,0,0.0485,9,1455.9,0,9,4,1,0,0,0,0,0,0,-1,66.66666666666667,,,,,"",107,289,1658,3565,5501,,,,222,471,1068,5907,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"",,,0,1308177302,1308177302
55.69727891156463,"2017-12-04 06:09:09","Run","Saucony Black Iso","first time running up the rocky steps after living 20 of my 25 years in philly",16198.8,120,5227,4840,3.3469,10.1,480.87198720000004,159.34114944,27.322272,9.0534744,0,0,,0,88.6,145.9,159,7.41,89.3,0,0.0513,15,1455.6,0,7,3,1,0,0,0,0,0,0,-1,86.60714285714286,,,,,"",101,268,1504,3187,4817,,,,212,454,947,5191,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"",,,0,1301774829,1301774829
80.45157456922163,"2017-12-01 12:41:59","Run","Salomon Red Trail","Lunch trot, nice view along river",8254.9,23,2347,2183,3.7814,16,425.51055360000004,100.584,24.176736000000002,5.715,0,0,,0,89.4,147.7,167,2.79,37.9,0,0.0573,18,734.2,0,3,0,1,1,0,0,0,0,0,-1,85.29411764705883,,,,,"",79,254,1391,,,,,,199,446,916,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"",,,0,1298063705,1298063705
68.76391547391177,"2017-11-28 06:38:38","Run","Saucony Black Iso","chill morning run, rad sunrise",11268.6,44.3,3527,3363,3.3508,4.3,480.2282496,374.26904064,27.285695999999998,21.265286399999997,0,0,,0,89.3,,0,3.93,47.4,0,0,,1003,0,4,0,1,0,0,0,0,0,0,-1,76.47058823529412,,,,,"",108,281,1510,3084,,,,,226,457,960,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"",,,0,1293955973,1293955973
42.57422531907372,"2017-11-26 15:07:18","Run","Salomon Red Trail","freakin finally first run back after spraining ankle during marathon",16160.2,72.9,5312,4896,3.3007,7.5,487.631232,214.57383552000002,27.706319999999998,12.1916952,0,0,,0,87.6,,0,4.51,53.6,0,0,,1440.5,0,5,0,1,0,0,0,0,0,0,-1,65.51724137931033,,,,,"",109,284,1524,3191,4837,,,,228,462,956,5278,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"",,,0,1292213215,1292213215
