Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Weight,Current,Surface Conditions,Decompression,Water Type
running,2017-12-21 12:16:00,false,"Philadelphia Running","8.01","762","1:00:54","141","167","3.1","179","229","7:36","4:43","98","82","1.12","8.4","9.4","247","50.9% L / 49.1% R","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","57.2","--","0:00","--","--","--","No","--"
running,2017-12-20 11:30:53,false,"Philadelphia Running","7.00","613","53:55","138","154","2.9","178","198","7:42","5:33","95","82","1.10","8.6","9.5","246","50.8% L / 49.2% R","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","51.8","--","0:00","--","--","--","No","--"
treadmill_running,2017-12-19 17:57:29,false,"Treadmill Running","5.00","478","43:58","133","185","2.7","174","186","8:47","6:30","16","10","1.05","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","73.4","--","0:00","--","--","--","No","--"
running,2017-12-18 17:29:05,false,"Philadelphia Running","15.00","1,277","2:02:52","138","157","3.1","174","201","8:11","6:35","417","427","1.07","9.1","9.8","252","51.2% L / 48.8% R","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","57.2","--","0:00","--","--","--","No","--"
treadmill_running,2017-12-14 06:17:34,false,"Treadmill Running","9.00","979","1:14:27","150","165","3.4","179","216","8:16","4:16","--","33","1.08","8.7","9.6","248","50.9% L / 49.1% R","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","69.8","--","0:00","--","--","--","No","--"
treadmill_running,2017-12-13 17:30:09,false,"Treadmill Running","4.02","323","34:20","136","161","2.3","174","188","8:32","7:46","10","13","1.08","8.7","9.6","260","51.1% L / 48.9% R","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","71.6","--","0:00","--","--","--","No","--"
treadmill_running,2017-12-12 07:06:24,false,"Treadmill Running","4.01","362","34:59","131","139","2.0","173","186","8:44","7:50","13","--","1.07","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","71.6","--","0:00","--","--","--","No","--"
running,2017-12-11 12:28:50,false,"Philadelphia Running","8.01","849","1:02:21","150","178","3.9","176","192","7:47","3:49","105","89","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","59.0","--","0:00","--","--","--","No","--"
running,2017-12-10 15:33:43,false,"Philadelphia Running","4.01","388","33:07","137","189","2.5","175","192","8:15","6:49","79","115","1.12","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","55.4","--","0:00","--","--","--","No","--"
running,2017-12-09 10:09:14,false,"Philadelphia Running","10.00","989","1:23:20","148","167","3.3","179","256","8:20","6:46","430","404","1.03","8.3","8.5","257","50.6% L / 49.4% R","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","42.8","--","0:00","--","--","--","No","--"
running,2017-12-04 06:09:09,false,"Philadelphia Running","10.01","927","1:20:41","146","159","3.1","178","256","8:04","6:16","394","446","1.07","8.7","9.3","246","50.0% L / 50.0% R","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","53.6","--","0:00","--","--","--","No","--"
running,2017-12-01 12:41:59,false,"Philadelphia Running","5.01","475","36:23","148","168","3.3","177","192","7:16","5:27","75","69","1.25","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","60.8","--","0:00","--","--","--","No","--"
cycling,2017-11-30 07:55:37,false,"Philadelphia Cycling","2.99","89","15:07","101","122","1.1","--","--","11.9","22.2","33","95","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","59.0","--","0:00","--","--","--","No","--"
running,2017-11-28 06:38:38,false,"Philadelphia Running","7.00","915","56:03","--","--","0.0","179","204","8:00","4:40","144","139","1.13","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-11-26 15:07:18,false,"Philadelphia Running","10.00","1,308","1:21:36","--","--","0.0","175","200","8:10","3:22","373","376","1.13","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-11-19 07:00:55,false,"Philadelphia Running","26.41","3,227","3:07:22","--","--","0.0","184","211","7:06","3:37","597","589","1.23","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-11-17 07:33:07,false,"Running","5.01","609","41:16","--","--","0.0","169","215","8:14","5:20","--","--","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-11-16 12:10:59,false,"Philadelphia Running","6.00","743","49:31","--","--","0.0","172","186","8:15","2:20","118","118","1.14","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
