"","Name","Date","Month","Week","Day","Weekday","RunCat","RunType","WorkoutType","StartTime","Time","Distance","Avg.HR","Max.HR","Avg.Cadence","Max.Cadence","Avg.Pace","Best.Pace","Elev.Gain","Elev.Loss","Avg.Stride.Length"
"1","Afternoon Run",2017-07-17,NA,1,17,"Monday","ML","Run","NA",2017-12-27 17:25:00,2017-12-27 01:35:00,12.04,133,144,181,211,2017-12-27 00:07:54,2017-12-27 00:01:48,183,176,1.13
"2","Tempo run turned into tempo intervals",2017-07-18,NA,1,18,"Tuesday","Workout","Workout","Tempo",2017-12-27 17:31:00,2017-12-27 01:21:52,11.05,146,167,162,200,2017-12-27 00:07:25,2017-12-27 00:04:05,144,137,1.4
"3","evening 2nd recovery on treadmill",2017-07-19,NA,1,19,"Wednesday","Recovery","Recovery","NA",2017-12-27 17:46:00,2017-12-27 00:33:06,4,114,143,175,189,2017-12-27 00:08:16,2017-12-27 00:07:22,NA,NA,1.11
"4","painful recovery Run",2017-07-19,NA,1,19,"Wednesday","Recovery","Recovery","NA",2017-12-27 06:40:00,2017-12-27 00:52:04,6,127,137,182,193,2017-12-27 00:08:40,2017-12-27 00:04:40,99,79,1.02
"5","first general aerobic + strides",2017-07-20,NA,1,20,"Thursday","GA","Run","NA",2017-12-27 17:17:00,2017-12-27 01:15:14,10,149,160,181,204,2017-12-27 00:07:31,2017-12-27 00:04:21,155,152,1.18
"6","Evening treadmill recovery",2017-07-21,NA,1,21,"Friday","Recovery","Recovery","NA",2017-12-27 18:13:00,2017-12-27 00:25:05,3,112,119,180,191,2017-12-27 00:08:21,2017-12-27 00:07:18,NA,NA,1.07
"7","Morning Recovery",2017-07-21,NA,1,21,"Friday","Recovery","Recovery","NA",2017-12-27 06:28:00,2017-12-27 00:34:50,4.01,122,135,181,189,2017-12-27 00:08:41,2017-12-27 00:05:20,83,83,1.03
"8","absolute death general aerobic in VA",2017-07-22,NA,1,22,"Saturday","GA","Run","NA",2017-12-27 13:03:00,2017-12-27 01:03:14,8,141,157,182,194,2017-12-27 00:07:54,2017-12-27 00:05:52,147,148,1.12
"9","late long run",2017-07-24,NA,2,24,"Monday","Long","Long","NA",2017-12-27 17:28:00,2017-12-27 02:02:26,16,140,157,180,202,2017-12-27 00:07:39,2017-12-27 00:04:59,NA,NA,1.17
"10","shoulda been a double recovery",2017-07-25,NA,2,25,"Tuesday","Recovery","Recovery","NA",2017-12-27 18:13:00,2017-12-27 01:24:26,10.01,NA,NA,179,211,2017-12-27 00:08:26,2017-12-27 00:06:17,140,130,1.07
"11","general aerobic",2017-07-26,NA,2,26,"Wednesday","GA","Run","NA",2017-12-27 17:15:00,2017-12-27 01:22:11,11.02,134,147,183,195,2017-12-27 00:07:27,2017-12-27 00:00:45,153,146,1.18
"12","fatigued legs medium long",2017-07-27,NA,2,27,"Thursday","ML","Run","NA",2017-12-27 17:11:00,2017-12-27 01:37:37,13.01,140,152,181,197,2017-12-27 00:07:30,2017-12-27 00:02:10,289,288,1.18
"13","Morning Run",2017-07-28,NA,2,28,"Friday","Recovery","Recovery","NA",2017-12-27 07:28:00,2017-12-27 00:32:16,4.01,118,129,178,195,2017-12-27 00:08:03,2017-12-27 00:06:59,NA,NA,1.12
"14","mp long run",2017-07-29,NA,2,29,"Saturday","Workout","Long","Marathon Pace",2017-12-27 11:41:00,2017-12-27 02:03:37,17.01,142,161,173,209,2017-12-27 00:07:16,2017-12-27 00:05:03,733,732,1.3
"15","Afternoon Run",2017-07-31,NA,3,31,"Monday","ML","Run","NA",2017-12-27 17:34:00,2017-12-27 01:32:57,12,137,147,180,191,2017-12-27 00:07:45,2017-12-27 00:03:46,291,291,1.16
"16","4 mi tempo intervals",2017-08-01,NA,3,1,"Tuesday","Workout","Workout","Tempo",2017-12-27 17:28:00,2017-12-27 00:57:19,8.01,140,165,164,211,2017-12-27 00:07:10,2017-12-27 00:02:18,113,117,1.41
"17","Morning recovery",2017-08-01,NA,3,1,"Tuesday","Recovery","Recovery","NA",2017-12-27 07:11:00,2017-12-27 00:24:06,3.01,121,135,180,191,2017-12-27 00:08:01,2017-12-27 00:02:34,32,41,1.12
"18","treadmill recovery",2017-08-02,NA,3,2,"Wednesday","Recovery","Recovery","NA",2017-12-27 17:10:00,2017-12-27 00:32:30,4.01,110,121,178,191,2017-12-27 00:08:06,2017-12-27 00:07:19,NA,NA,1.11
"19","Morning Recovery",2017-08-02,NA,3,2,"Wednesday","Recovery","Recovery","NA",2017-12-27 06:29:00,2017-12-27 00:59:49,7.01,130,185,180,193,2017-12-27 00:08:32,2017-12-27 00:02:11,105,114,1.05
"20","middle long",2017-08-03,NA,3,3,"Thursday","ML","Run","NA",2017-12-27 05:46:00,2017-12-27 01:47:46,14.01,139,148,180,193,2017-12-27 00:07:42,2017-12-27 00:02:43,316,326,1.16
"21","taking it easy GA",2017-08-04,NA,3,4,"Friday","GA","Run","NA",2017-12-27 06:33:00,2017-12-27 01:10:10,9.01,132,142,180,193,2017-12-27 00:07:47,2017-12-27 00:02:12,117,127,1.15
"22","long run",2017-08-05,NA,3,5,"Saturday","Long","Long","NA",2017-12-27 06:49:00,2017-12-27 02:15:36,18,137,152,181,209,2017-12-27 00:07:32,2017-12-27 00:05:33,477,529,1.18
"23","rec that turned into a GE",2017-08-06,NA,4,6,"Sunday","GA","Run","NA",2017-12-27 16:13:00,2017-12-27 01:34:37,12,136,151,183,195,2017-12-27 00:07:53,2017-12-27 00:06:02,7,7,1.12
