 Activity Name,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect
 Running,"Mon, Oct 31, 2016 4:41 PM",30:50:00,4,--,7:42,6:47,113,129,304,--,--,--,--,--,--
 Chalfont Running,"Sun, Oct 30, 2016 9:13 AM",2:42:53,22,778,7:24,3:01,140,155,"2,044",--,--,--,--,--,--
 Chalfont Running,"Sat, Oct 29, 2016 10:09 AM",52:25:00,7,259,7:29,6:31,144,161,794,--,--,--,--,--,--
 Chalfont Running,"Fri, Oct 28, 2016 4:59 PM",1:10:32,10.01,374,7:03,1:39,143,168,925,--,--,--,--,--,--
 Running,"Thu, Oct 27, 2016 5:08 PM",40:41:00,5,0,8:08,6:41,116,142,418,--,--,--,--,--,--
 Chalfont Running,"Wed, Oct 26, 2016 5:15 AM",1:51:29,15.01,521,7:26,5:55,140,154,"1,499",--,--,--,--,--,--
 Chalfont Running,"Tue, Oct 25, 2016 5:36 AM",1:26:25,12,337,7:12,4:47,137,163,"1,228",--,--,--,--,--,--
 Chalfont Running,"Mon, Oct 24, 2016 6:12 AM",45:01:00,6.01,251,7:30,6:28,139,150,658,--,--,--,--,--,--
 Running,"Sun, Oct 23, 2016 1:08 PM",7:53,1,--,7:52,6:44,119,128,95,--,--,--,--,--,--
 Chalfont Running,"Sun, Oct 23, 2016 11:43 AM",1:04:28,15.01,657,4:18,2:14,114,146,510,--,--,--,--,--,--
 Chalfont Running,"Sat, Oct 22, 2016 8:55 AM",2:20:43,20,705,7:02,5:00,143,157,"1,770",--,--,--,--,--,--
 Chalfont Running,"Fri, Oct 21, 2016 4:59 PM",56:00:00,7,357,8:00,6:01,135,146,739,--,--,--,--,--,--
 Chalfont Running,"Thu, Oct 20, 2016 4:53 PM",46:51:00,6.01,238,7:48,5:59,135,151,626,--,--,--,--,--,--
 Chalfont Running,"Wed, Oct 19, 2016 5:40 AM",1:20:58,11.01,299,7:21,5:06,145,167,"1,155",--,--,--,--,--,--
 Chalfont Running,"Tue, Oct 18, 2016 5:31 AM",1:15:52,10,410,7:35,4:52,141,152,"1,027",--,--,--,--,--,--
 Running,"Mon, Oct 17, 2016 5:49 PM",7:43,1,0,7:41,6:42,117,127,88,--,--,--,--,--,--
 Pittsburgh Running,"Sun, Oct 16, 2016 7:57 AM",2:29:55,21,296,7:08,3:46,142,158,"1,908",--,--,--,--,--,--
 Pittsburgh Running,"Sat, Oct 15, 2016 8:01 AM",1:09:27,9.01,223,7:43,3:40,137,151,899,--,--,--,--,--,--
 Chalfont Running,"Fri, Oct 14, 2016 6:37 AM",1:24:29,12.01,500,7:02,5:01,149,164,"1,210",--,--,--,--,--,--
 Chalfont Running,"Thu, Oct 13, 2016 4:42 PM",39:55:00,5.01,210,7:58,5:05,131,147,530,--,--,--,--,--,--
 ,,,,,,,,,,,,,,,
