"ID","Name","Gear","Date","Month","monthNum","DOW","StartTime","Distance","Time","Avg.Speed.Avg.Pace.","Speed.mph","Cad","Elevation.Gain","Avg.HR","Max.HR","Calories"
646029304,"Classic LT Run","Brooks Ghost Red/Black",2016-07-19,"Jul",7,"Tue","5:51",9.01,"1:04:59","7:13",3.7179,84.2,"351","149","167","943"
647216014,"MIddle Long Run","Brooks Ghost Red/Black",2016-07-20,"Jul",7,"Wed","5:36",11,"1:23:29","7:35",3.535,84.2,"461","150","160","1,176"
648410753,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-07-21,"Jul",7,"Thu","6:45",4,"32:40:00","8:10",3.2875,85.6,"--","139","149","442"
649445500,"GA Run","Brooks Ghost Red/Black",2016-07-22,"Jul",7,"Fri","5:29",11,"1:24:31","7:41",3.4931,88,"468","150","161","1,170"
650512799,"Morning Run","ASICS dunno Black, Yellow, Red",2016-07-23,"Jul",7,"Sat","7:29",6,"48:25:00","8:04",3.3253,86.9,"230","131","155","721"
651933678,"Long Run","Brooks Ghost Red/Black",2016-07-24,"Jul",7,"Sun","8:17",16.02,"2:03:17","7:42",3.4844,85,"572","154","165","1,653"
653912805,"GA Run","Brooks Ghost Red/Black",2016-07-26,"Jul",7,"Tue","5:29",10,"1:15:58","7:36",3.5316,82.9,"400","150","159","1,090"
655096239,"Morning Run","Brooks Ghost Red/Black",2016-07-27,"Jul",7,"Wed","5:15",13,"1:40:41","7:45",3.4642,87.4,"485","146","158","1,318"
656203325,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-07-28,"Jul",7,"Thu","6:15",3,"23:41","7:53",3.4037,85.8,"--","134","142","314"
657259723,"Middle Long Run","Brooks Ghost Red/Black",2016-07-29,"Jul",7,"Fri","5:14",12.02,"1:34:55","7:54",3.3959,85.1,"477","149","160","1,241"
658362685,"Recovery Run","ASICS dunno Black, Yellow, Red",2016-07-30,"Jul",7,"Sat","7:28",6.01,"49:29:00","8:14",3.2554,85.7,"244","134","150","617"
660217642,"Long Run","Brooks Ghost Red/Black",2016-07-31,"Jul",7,"Sun","8:37",17.02,"2:05:52","7:24",3.6281,81.3,"695","151","165","1,625"
661788546,"Tempo Run","Brooks Ghost Red/Black",2016-08-02,"Aug",8,"Tue","5:26",10,"1:13:51","7:23",3.6337,79.7,"388","150","172","1,018"
662952334,"Middle Long Run","Brooks Ghost Red/Black",2016-08-03,"Aug",8,"Wed","5:03",14,"1:49:18","7:48",3.4361,83.2,"548","146","156","1,359"
664039146,"Recovery Run","Hoka One One Clifton Reds",2016-08-04,"Aug",8,"Thu","5:11",5,"41:04:00","8:12",3.2694,86.4,"224","133","147","545"
665228569,"Middle Long Run","Brooks Ghost Red/Black",2016-08-05,"Aug",8,"Fri","5:30",12,"1:30:35","7:33",3.5547,87.1,"459","148","158","1,260"
668200606,"GA Run","Hoka One One Clifton Reds",2016-08-06,"Aug",8,"Sat","7:18",8,"1:02:54","7:52",3.4131,87,"--","149","158","898"
668200836,"Recovery Run","Hoka One One Clifton Reds",2016-08-07,"Aug",8,"Sun","14:50",4.01,"30:04:00","7:30",3.5725,88,"4","149","160","460"
