 Activity Name,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect
 Sea Isle City Running,"Wed, Aug 10, 2016 9:41 AM",23:31,3,--,7:50,6:13,134,151,299,--,--,--,--,--,--
 Sea Isle City Running,"Mon, Aug 8, 2016 7:31 AM",1:57:31,15,13,7:50,6:12,142,158,"1,545",--,--,--,--,--,--
 Sea Isle City Running,"Sun, Aug 7, 2016 2:50 PM",30:04:00,4.01,4,7:30,5:11,149,160,460,--,--,--,--,--,--
 Ocean City Running,"Sat, Aug 6, 2016 6:18 AM",1:02:54,8,--,7:52,6:02,149,158,898,--,--,--,--,--,--
 Chalfont Running,"Fri, Aug 5, 2016 5:30 AM",1:30:35,12,459,7:33,5:05,148,158,"1,260",--,--,--,--,--,--
 Chalfont Running,"Thu, Aug 4, 2016 5:11 AM",41:04:00,5,224,8:12,7:16,133,147,545,--,--,--,--,--,--
 Chalfont Running,"Wed, Aug 3, 2016 5:03 AM",1:49:18,14,548,7:48,6:28,146,156,"1,359",--,--,--,--,--,--
 Chalfont Running,"Tue, Aug 2, 2016 5:26 AM",1:13:51,10,388,7:23,5:38,150,172,"1,018",--,--,--,--,--,--
 Chalfont Running,"Sun, Jul 31, 2016 8:37 AM",2:05:52,17.02,695,7:24,4:57,151,165,"1,625",--,--,--,--,--,--
 Chalfont Running,"Sat, Jul 30, 2016 7:28 AM",49:29:00,6.01,244,8:14,7:01,134,150,617,--,--,--,--,--,--
 Chalfont Running,"Fri, Jul 29, 2016 5:14 AM",1:34:55,12.02,477,7:54,5:35,149,160,"1,241",--,--,--,--,--,--
 Running,"Thu, Jul 28, 2016 6:15 AM",23:41,3,--,7:53,7:12,134,142,314,--,--,--,--,--,--
 Chalfont Running,"Wed, Jul 27, 2016 5:15 AM",1:40:41,13,485,7:45,5:53,146,158,"1,318",--,--,--,--,--,--
 Chalfont Running,"Tue, Jul 26, 2016 5:29 AM",1:15:58,10,400,7:36,5:46,150,159,"1,090",--,--,--,--,--,--
 Chalfont Running,"Sun, Jul 24, 2016 8:17 AM",2:03:17,16.02,572,7:42,5:48,154,165,"1,653",--,--,--,--,--,--
 Chalfont Running,"Sat, Jul 23, 2016 7:29 AM",48:25:00,6,230,8:04,6:36,131,155,721,--,--,--,--,--,--
 Chalfont Running,"Fri, Jul 22, 2016 5:29 AM",1:24:31,11,468,7:41,5:48,150,161,"1,170",--,--,--,--,--,--
 Running,"Thu, Jul 21, 2016 6:45 AM",32:40:00,4,--,8:10,7:39,139,149,442,--,--,--,--,--,--
 Chalfont Running,"Wed, Jul 20, 2016 5:36 AM",1:23:29,11,461,7:35,5:55,150,160,"1,176",--,--,--,--,--,--
 Chalfont Running,"Tue, Jul 19, 2016 5:51 AM",1:04:59,9.01,351,7:13,4:59,149,167,943,--,--,--,--,--,--
 ,,,,,,,,,,,,,,,
