Activities by nimz713
 
 Activity Name,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
 Chalfont Running,"Wed, Oct 12, 2016 5:07 AM",1:48:31,15.00,491,7:14,5:27,144,157,"1,476",--,--,--,--,--,--,
 Chalfont Running,"Tue, Oct 11, 2016 5:15 AM",1:21:55,11.00,392,7:27,4:51,142,153,"1,092",--,--,--,--,--,--,
 Chalfont Running,"Mon, Oct 10, 2016 4:59 PM",38:49,5.01,218,7:45,5:43,135,148,524,--,--,--,--,--,--,
 Chalfont Running,"Sun, Oct 9, 2016 11:28 AM",58:10,8.01,333,7:16,5:47,142,156,824,--,--,--,--,--,--,
 Doylestown Running,"Sat, Oct 8, 2016 10:33 AM",1:00:53,9.33,257,6:32,5:06,157,169,939,--,--,--,--,--,--,
 Chalfont Running,"Fri, Oct 7, 2016 4:53 PM",49:37,6.00,229,8:16,6:34,137,150,652,--,--,--,--,--,--,
 Running,"Thu, Oct 6, 2016 5:42 AM",41:14,5.01,0,8:14,7:27,123,137,468,--,--,--,--,--,--,
 Chalfont Running,"Wed, Oct 5, 2016 5:02 AM",1:55:48,15.01,564,7:43,6:22,136,153,"1,380",--,--,--,--,--,--,
 Chalfont Running,"Tue, Oct 4, 2016 5:39 AM",1:14:56,10.00,297,7:30,4:52,146,182,985,--,--,--,--,--,--,
 Running,"Mon, Oct 3, 2016 5:58 AM",16:09,2.00,0,8:04,7:29,115,122,180,--,--,--,--,--,--,
 Chalfont Running,"Sun, Oct 2, 2016 8:38 AM",2:55:35,24.00,789,7:19,5:30,143,158,"2,129",--,--,--,--,--,--,
 Chalfont Running,"Sat, Oct 1, 2016 12:51 PM",1:18:18,10.00,392,7:50,6:02,129,146,915,--,--,--,--,--,--,
 Chalfont Running,"Fri, Sep 30, 2016 5:04 AM",1:51:04,15.01,550,7:24,5:29,142,157,"1,486",--,--,--,--,--,--,
 Running,"Thu, Sep 29, 2016 5:42 AM",40:20,5.00,0,8:04,7:01,121,138,449,--,--,--,--,--,--,
 Chalfont Running,"Wed, Sep 28, 2016 5:28 AM",1:24:21,12.01,476,7:01,5:18,148,162,"1,104",--,--,--,--,--,--,
 Chalfont Running,"Tue, Sep 27, 2016 5:27 AM",1:25:16,11.01,468,7:45,5:22,139,154,"1,050",--,--,--,--,--,--,
 Running,"Mon, Sep 26, 2016 6:33 AM",32:11,4.00,--,8:02,7:22,113,122,347,--,--,--,--,--,--,
 Chalfont Running,"Sun, Sep 25, 2016 8:59 AM",2:10:33,18.00,660,7:15,5:30,146,160,"1,683",--,--,--,--,--,--,
 Chalfont Running,"Fri, Sep 23, 2016 5:15 AM",1:37:17,13.01,531,7:29,5:00,146,160,"1,278",--,--,--,--,--,--,
 Chalfont Running,"Thu, Sep 22, 2016 5:25 AM",50:08,6.01,238,8:20,6:30,133,145,630,--,--,--,--,--,--,
 
