,ID,Name,Gear,Date,Month,monthNum,DOW,StartTime,Distance,Time,Speed.mph,Cad,Elevation.Gain,Avg.HR,Max.HR,Calories,RunType,weekNumber,Avg.Pace,morningNightBucket
12,646029304,Classic LT Run,Brooks Ghost Red/Black,7/19/2016,Jul,7,Tue,4/7/2017 5:51,9.01,4/7/2017 1:04,3.7179,168.4,351,149,167,943,Workout,1,4/7/2017 0:07,Sunrise
15,647216014,ML Run,Brooks Ghost Red/Black,7/20/2016,Jul,7,Wed,4/7/2017 5:36,11,4/7/2017 1:23,3.535,168.4,461,150,160,1176,Run,1,4/7/2017 0:07,Sunrise
94,648410753,Recovery Run,"ASICS dunno Black, Yellow, Red",7/21/2016,Jul,7,Thu,4/7/2017 6:45,4,4/7/2017 0:32,3.2875,171.2,NA,139,149,442,Recovery Run,1,4/7/2017 0:08,Sunrise
4,649445500,GA Run,Brooks Ghost Red/Black,7/22/2016,Jul,7,Fri,4/7/2017 5:29,11,4/7/2017 1:24,3.4931,176,468,150,161,1170,Run,1,4/7/2017 0:07,Sunrise
6,650512799,Recovery Run,"ASICS dunno Black, Yellow, Red",7/23/2016,Jul,7,Sat,4/7/2017 7:29,6,4/7/2017 0:48,3.3253,173.8,230,131,155,721,Recovery Run,1,4/7/2017 0:08,Morning
8,651933678,Long Run,Brooks Ghost Red/Black,7/24/2016,Jul,7,Sun,4/7/2017 8:17,16.02,4/7/2017 2:03,3.4844,170,572,154,165,1653,Long Run,1,4/7/2017 0:07,Morning
13,653912805,GA Run,Brooks Ghost Red/Black,7/26/2016,Jul,7,Tue,4/7/2017 5:29,10,4/7/2017 1:15,3.5316,165.8,400,150,159,1090,Run,2,4/7/2017 0:07,Sunrise
16,655096239,ML Run,Brooks Ghost Red/Black,7/27/2016,Jul,7,Wed,4/7/2017 5:15,13,4/7/2017 1:40,3.4642,174.8,485,146,158,1318,Run,2,4/7/2017 0:07,Sunrise
95,656203325,Recovery Run,"ASICS dunno Black, Yellow, Red",7/28/2016,Jul,7,Thu,4/7/2017 6:15,3,4/7/2017 0:23,3.4037,171.6,NA,134,142,314,Recovery Run,2,4/7/2017 0:07,Sunrise
5,657259723,ML Run,Brooks Ghost Red/Black,7/29/2016,Jul,7,Fri,4/7/2017 5:14,12.02,4/7/2017 1:34,3.3959,170.2,477,149,160,1241,Run,2,4/7/2017 0:07,Sunrise
7,658362685,Recovery Run,"ASICS dunno Black, Yellow, Red",7/30/2016,Jul,7,Sat,4/7/2017 7:28,6.01,4/7/2017 0:49,3.2554,171.4,244,134,150,617,Recovery Run,2,4/7/2017 0:08,Morning
9,660217642,Long Run,Brooks Ghost Red/Black,7/31/2016,Jul,7,Sun,4/7/2017 8:37,17.02,4/7/2017 2:05,3.6281,162.6,695,151,165,1625,Long Run,2,4/7/2017 0:07,Morning
11,661788546,Tempo Run,Brooks Ghost Red/Black,8/2/2016,Aug,8,Tue,4/7/2017 5:26,10,4/7/2017 1:13,3.6337,159.4,388,150,172,1018,Workout,3,4/7/2017 0:07,Sunrise
14,662952334,ML Run,Brooks Ghost Red/Black,8/3/2016,Aug,8,Wed,4/7/2017 5:03,14,4/7/2017 1:49,3.4361,166.4,548,146,156,1359,Run,3,4/7/2017 0:07,Sunrise
10,664039146,Recovery Run,Hoka One One Clifton Reds,8/4/2016,Aug,8,Thu,4/7/2017 5:11,5,4/7/2017 0:41,3.2694,172.8,224,133,147,545,Recovery Run,3,4/7/2017 0:08,Sunrise
