Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Weight,Current,Surface Conditions,Decompression,Water Type
running,11/22/2016 17:22,FALSE,Running,1,133,07:57.1,--,--,0,175,191,7:56,6:39,--,--,1.16,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,11/21/2016 7:12,FALSE,Running,1,120,11:25,--,--,0,122,185,11:23,7:25,--,--,1.16,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,11/20/2016 7:00,FALSE,Philadelphia Running,26.27,"2,113",3:07:15,151,200,0,184,204,7:08,3:04,529,513,1.23,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,11/19/2016 16:48,FALSE,Chalfont Running,3,329,25:16:00,124,144,0,176,189,8:25,6:16,145,122,1.09,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,11/18/2016 17:22,FALSE,Chalfont Running,5,554,42:10:00,133,148,0,174,189,8:26,7:07,238,243,1.1,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,11/17/2016 6:01,FALSE,Chalfont Running,7,762,50:42:00,145,195,0,186,238,7:14,4:52,276,251,1.19,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,11/16/2016 12:07,FALSE,Chalfont Running,5.01,536,38:49:00,135,164,0,180,191,7:45,6:21,140,125,1.15,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,11/15/2016 5:55,FALSE,Chalfont Running,8,853,58:14:00,145,162,0,186,205,7:17,5:41,334,301,1.19,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,11/14/2016 17:11,FALSE,Running,2.06,64,16:19,70,118,0,172,189,7:55,6:59,--,--,1.18,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,11/13/2016 10:42,FALSE,Chalfont Running,12,"1,246",1:24:46,145,158,0,185,237,7:04,5:16,467,442,1.23,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
