Activity Score,When,Type,Gear,Name,Dist mi,Elv ft,Elapsed Time,Moving Time,Speed mph,Max Speed mph,Pace /mi,Max Pace /mi,Pace /100yds,Max Pace /100yds,Pwr W,Weighted Avg Pwr W,Max Pwr W,Power Meter,Cad,Heart,Max Heart,Elev/Dist ft/mi,Elev/Time ft/h,W/HR,Temp °C,Cal,Energy kJ,Segs,PRs,Others,Kudos,Comments,Com,Trn,Man,Pri,Dist away mi,Activity Score 25%,Segment PRs (K/QOM positions),All segments (personal positions),Ride/Run Type,400m,1 km,5 km,10 km,15 km,20 km,30 km,50 km,1/2 Mile,1 mile,2 mile,10 mile,Half Marathon,Marathon,Suffer Score,Points in red,% in red,H/R Zone 1,H/R Zone 2,H/R Zone 3,H/R Zone 4,H/R Zone 5,Power 0W,Power 0-50W,Power 50-100W,Power 100-150W,Power 150-200W,Power 200-250W,Power 250-300W,Power 300-350W,Power 350-400W,Power 400-450W,Power 450W+,Pace Zone 1,Pace Zone 2,Pace Zone 3,Pace Zone 4,Pace Zone 5,Flagged,Description,City,State,Activity Id
50,11/20/2016 7:00,Run,Saucony Fastwitch Reds,Oh My God So Freakin Windy Philly Marathon,43119.2,136,11443,11234,3.8383,10.1,419.234112,159.3411494,23.82012,9.0534744,0,0,,0,93.1,151.1,200,3.15,43.6,0,,4226.9,0,17,17,118,3,0,0,0,0,0,-1,50,,,Race,78,215,1159,2371,3650,4888,7536,,170,360,751,3933,5157,11207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,780935487
0,11/19/2016 16:48,Run,Hoka One One Clifton Reds,Recovery Run,4832,37.3,1571,1515,3.1894,3.8,504.529344,423.514967,28.66644,24.0633504,0,0,,0,87.6,123.8,144,7.72,88.6,0,,473.6,0,0,0,1,0,0,0,0,0,0,-1,0,,,,116,303,,,,,,,241,495,1036,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,780934297
0,11/18/2016 17:22,Run,Hoka One One Clifton Reds,Recovery Run,8050.4,64.8,2616,2530,3.182,4.2,505.8168192,383.1848064,28.739592,21.771864,0,0,,0,87.3,132.7,148,8.05,92.2,0,,789.3,0,0,0,1,0,0,0,0,0,0,-1,0,,,,114,286,1633,,,,,,230,466,981,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6*100m strides,,,779226144
0,11/17/2016 6:01,Run,Hoka One One Clifton Reds,GA Run,11270.1,50.8,3159,3042,3.7048,5.5,434.3619456,292.6109261,24.679656,16.6256208,0,0,,0,92.8,144.9,194,4.51,60.1,0,,1103.5,0,0,0,1,0,0,0,0,0,0,-1,0,,,,94,253,1367,2792,,,,,202,412,842,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,777917114
0,11/16/2016 12:07,Run,Hoka One One Clifton Reds,Recovery Run,8058,36.8,2404,2328,3.4613,4.5,464.9394816,357.6284237,26.417016,20.3197968,0,0,,0,90.2,134.6,164,4.57,56.9,0,,790.1,0,0,0,1,0,0,0,0,0,0,-1,0,,,,107,282,1468,,,,,,223,452,935,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,777267101
0,11/15/2016 5:55,Run,Saucony Fastwitch Reds,GA Run,12880.4,91.3,3638,3494,3.6864,5.6,436.6150272,287.3805581,24.807672,16.3284408,0,0,,0,93.5,144.8,162,7.09,94.1,0,,1266,0,0,0,1,0,0,0,0,0,0,-1,0,,,,94,244,1315,2767,,,,,195,400,802,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2 mi @ MP (3-4),,,776017804
0,11/14/2016 17:11,Run,Brooks Ghost Red/Black,Recovery Run,3316.3,0,1046,1046,3.1705,3.8,507.5870976,423.514967,28.840176,24.0633504,0,0,,0,85.6,69.5,118,0,0,0,,323.4,0,0,0,1,0,0,0,1,0,0,-1,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,775641778
85.65705128,11/13/2016 10:42,Run,Brooks Ghost Red/Black,ML Run,19316.6,141.7,5734,5086,3.798,4.9,423.7402752,328.4349235,24.076152,18.6610752,0,0,,0,93.6,145.6,157,7.34,100.3,0,,1899.8,0,4,0,1,0,0,0,0,0,0,-1,90.38461538,,,,95,249,1399,2960,4495,,,,199,410,884,4811,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,774553806
0,11/12/2016 12:47,Run,Saucony Fastwitch Reds,GA Run,11270.4,50.6,3215,2994,3.7643,4.8,427.6027008,335.2746355,24.295608,19.0496952,0,0,,0,92.5,144.2,154,4.49,60.8,0,,1103.4,0,0,0,1,0,0,0,0,0,0,-1,0,,,,99,252,1361,2867,,,,,200,409,841,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8*100m strides,,,773462012
62.75720165,11/11/2016 5:55,Run,Hoka One One Clifton Reds,VO2 Run,12891.6,75,3841,3439,3.7486,5.4,429.3729792,298.0344154,24.396192,16.9337736,0,0,,0,93.2,148.5,167,5.82,78.5,0,,1266.5,0,9,0,1,0,0,0,0,0,0,-1,86.11111111,,,,85,216,1391,2960,,,,,173,354,788,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"2.5 mi WU, 3*1600m @ 5k, 2 mi CD",,,772172603
