Activity.Name,Start,Time,Distance,Elevation.Gain,Avg.Speed.Avg.Pace.,Max.Speed.Best.Pace.,Avg.HR,Max.HR,Calories,sumStrokes,Avg.Strokes,Min.Strokes,Avg.SWOLF,Best.SWOLF,Training.Effect
 Chalfont Running,"Fri, Aug 5, 2016 5:30 AM",1:30:35,12,459,7:33,5:05,148,158,"1,260",--,--,--,--,--,--
 Chalfont Running,"Fri, Jul 22, 2016 5:29 AM",1:24:31,11,468,7:41,5:48,150,161,"1,170",--,--,--,--,--,--
 Chalfont Running,"Fri, Jul 29, 2016 5:14 AM",1:34:55,12.02,477,7:54,5:35,149,160,"1,241",--,--,--,--,--,--
 Chalfont Running,"Sat, Jul 23, 2016 7:29 AM",48:25:00,6,230,8:04,6:36,131,155,721,--,--,--,--,--,--
 Chalfont Running,"Sat, Jul 30, 2016 7:28 AM",49:29:00,6.01,244,8:14,7:01,134,150,617,--,--,--,--,--,--
 Chalfont Running,"Sun, Jul 24, 2016 8:17 AM",2:03:17,16.02,572,7:42,5:48,154,165,"1,653",--,--,--,--,--,--
 Chalfont Running,"Sun, Jul 31, 2016 8:37 AM",2:05:52,17.02,695,7:24,4:57,151,165,"1,625",--,--,--,--,--,--
 Chalfont Running,"Thu, Aug 4, 2016 5:11 AM",41:04:00,5,224,8:12,7:16,133,147,545,--,--,--,--,--,--
 Chalfont Running,"Tue, Aug 2, 2016 5:26 AM",1:13:51,10,388,7:23,5:38,150,172,"1,018",--,--,--,--,--,--
 Chalfont Running,"Tue, Jul 19, 2016 5:51 AM",1:04:59,9.01,351,7:13,4:59,149,167,943,--,--,--,--,--,--
 Chalfont Running,"Tue, Jul 26, 2016 5:29 AM",1:15:58,10,400,7:36,5:46,150,159,"1,090",--,--,--,--,--,--
 Chalfont Running,"Wed, Aug 3, 2016 5:03 AM",1:49:18,14,548,7:48,6:28,146,156,"1,359",--,--,--,--,--,--
 Chalfont Running,"Wed, Jul 20, 2016 5:36 AM",1:23:29,11,461,7:35,5:55,150,160,"1,176",--,--,--,--,--,--
 Chalfont Running,"Wed, Jul 27, 2016 5:15 AM",1:40:41,13,485,7:45,5:53,146,158,"1,318",--,--,--,--,--,--
 Chalfont Running,"Fri, Aug 19, 2016 5:24 AM",1:45:43,14.01,583,7:33,5:59,142,157,"1,368",--,--,--,--,--,--
 Chalfont Running,"Fri, Aug 26, 2016 5:47 AM",1:32:36,12,467,7:43,5:45,122,158,"1,389",--,--,--,--,--,--
 Chalfont Running,"Mon, Aug 29, 2016 5:30 AM",33:33:00,4,151,8:23,7:17,126,136,416,--,--,--,--,--,--
